type_id,type_name
 0,TYPE_INIT
 1,TYPE_PENDING
 2,TYPE_ACCEPTED
 3,TYPE_DECLINED
 4,TYPE_ASSIGNED
 5,TYPE_NOT_HOME
 6,TYPE_CANCELED
 7,TYPE_DELIVERED
 8,TYPE_COMPLETED
 9,TYPE_RETURNED
 10,TYPE_REASSIGNED
 11,TYPE_FULFILLING_STARTED
 12,TYPE_FULFILLING_STOPPED
 13,TYPE_FULFILLED
 14,TYPE_REFUNDED
 15,TYPE_SHIPPED
 16,TYPE_FULFILLING_TIMEOUT
 17,TYPE_METRIC_LIMIT_EXCEEDED
 18,TYPE_INDICA_LIMIT_EXCEEDED
 19,TYPE_DELIVERY_STARTED
 20,TYPE_DELIVERY_STOPPED
 21,TYPE_REJECTED
 22,TYPE_PARTIAL
 23,TYPE_ITEM_ADDED
 24,TYPE_ITEM_REMOVED
 25,TYPE_ITEM_QTY_CHANGED
 26,TYPE_CART_SIMPLE_DISCOUNT_ADDED
 27,TYPE_CART_CUSTOM_DISCOUNT_ADDED
 28,TYPE_STORE_CREDIT_APPLIED
 29,TYPE_ALL_DISCOUNTS_REMOVED
 30,TYPE_ITEM_CUSTOM_DISCOUNT_ADDED
 31,TYPE_ITEM_CUSTOM_DISCOUNT_REMOVED
 32,TYPE_ITEM_MARKED_AS_FREE
 33,TYPE_CART_CUSTOM_DISCOUNT_CHANGED
 34,TYPE_CART_SIMPLE_DISCOUNT_CHANGED
 35,TYPE_OFFICE_NAME_CHANGED
 36,TYPE_DELIVERY_ADDRESS_CHANGED
 37,TYPE_DELIVERY_TIME_CHANGED
 38,TYPE_NOTE_MODIFIED
 39,TYPE_DELIVERY_ACCEPTED
 40,TYPE_ITEM_SIMPLE_DISCOUNT_ADDED
 41,TYPE_ITEM_SIMPLE_DISCOUNT_REMOVED
 42,TYPE_CART_SIMPLE_DISCOUNT_REMOVED
 43,TYPE_EXCHANGED
 44,TYPE_METRC_SENDER_CHANGED
